ID	Lat	Lon
266	47.66387062	-122.35554109999998
273	47.6628217	-122.3357899
275	47.6627261	-122.3306662
282	47.66275495	-122.3139241
284	47.66276858	-122.30922
289	47.66315837	-122.29817959999998
291	47.66343276	-122.29320200000001
298	47.65984536	-122.2783722
363	47.64390248	-122.32462520000001
377	47.63477489	-122.30432720000002
378	47.6350903	-122.31158020000001
379	47.63694115	-122.3172342
380	47.63136943	-122.31861740000001
394	47.62901024	-122.3744622
395	47.63196878	-122.3727418
396	47.63008545	-122.3661348
397	47.63094778	-122.3589759
410	47.62878261	-122.30991350000001
412	47.62843788	-122.3004244
413	47.62682046	-122.2970647
414	47.62641054	-122.28898259999998
427	47.62248198	-122.32248
428	47.62465749	-122.32604040000001
429	47.62033759	-122.3262216
430	47.62353339	-122.3317393
444	47.62188091	-122.36340609999999
446	47.61711361	-122.3561213
447	47.61757603	-122.3546875
462	47.61597195	-122.3459509
463	47.61663633	-122.3450888
464	47.61731345	-122.34423819999999
255	47.66386196	-122.38346409999998
268	47.66357966	-122.3486447
269	47.6639227	-122.3448719
270	47.66289165	-122.3428203
271	47.66686541	-122.3369106
285	47.66703198	-122.3033007
286	47.66306615	-122.30509550000001
287	47.66425825	-122.3019855
288	47.66734828	-122.2983803
304	47.65875183	-122.31488940000001
305	47.65488179	-122.3151346
318	47.65062637	-122.3446393
319	47.65996073	-122.34864109999998
321	47.65010243	-122.3486243
322	47.65993416	-122.35273059999999
336	47.6538885	-122.3683414
337	47.64921971	-122.354947
338	47.64829594	-122.3576749
352	47.64453935	-122.37364050000001
353	47.64275515	-122.36841729999999
354	47.64179101	-122.3630055
355	47.64278778	-122.35741540000001
307	47.65855246	-122.31994070000002
309	47.65933774	-122.3256926
314	47.65241733	-122.34037240000002
316	47.65869207	-122.3448356
323	47.65593526	-122.352723
325	47.65982581	-122.3579777
334	47.65708914	-122.392725
339	47.65143151	-122.3689728
341	47.65184122	-122.3739158
348	47.64160086	-122.4052213
350	47.64499707	-122.38767299999999
357	47.64121654	-122.35115390000001
359	47.64304054	-122.34344509999998
366	47.63995172	-122.3130558
368	47.64590002	-122.30593119999999
373	47.6377276	-122.28100490000001
375	47.63314223	-122.30005619999999
382	47.63636115	-122.3243314
384	47.63521358	-122.3415567
389	47.63839399	-122.3745446
391	47.63826351	-122.3901685
393	47.63663177	-122.4013373
370	47.64189278	-122.3003639
371	47.63571183	-122.29575259999999
372	47.6339403	-122.28940209999999
385	47.635678600000006	-122.34850349999999
386	47.63607905	-122.35508540000001
388	47.63652023	-122.3685624
402	47.62668554	-122.3469794
403	47.62801777	-122.34185719999999
405	47.62922732	-122.33163559999998
419	47.62282264	-122.2936618
420	47.62393338	-122.29735990000002
421	47.62126376	-122.29777820000001
422	47.62207557	-122.30081940000001
435	47.62029899	-122.3410425
437	47.62050752	-122.3453241
438	47.62195116	-122.3511732
439	47.61928931	-122.34850949999999
452	47.61574982	-122.35152520000001
453	47.61641468	-122.35066599999999
454	47.61707907	-122.3498061
455	47.61770968	-122.3489017
469	47.61286536	-122.34470390000001
479	47.60949625	-122.34280690000001
480	47.61063633	-122.3428763
494	47.614810299999995	-122.3341227
495	47.61580007	-122.332502
496	47.61660605	-122.3312533
497	47.61760244	-122.33030409999999
511	47.60840929	-122.3373371
512	47.60887349	-122.3362267
514	47.60980202	-122.3340057
527	47.60430193	-122.3366892
528	47.60476644	-122.33557959999999
529	47.60523094	-122.3344697
530	47.60569462	-122.3333595
531	47.60615927	-122.3322493
545	47.60225629	-122.3286062
